TV,Radio,Newspaper,Sales
202.5,22.3,31.6,16.6
88.3,25.5,73.4,12.9
266.9,43.8,5.0,25.4
218.5,5.4,27.4,17.2
107.4,14.0,10.9,11.5
165.6,10.0,17.6,17.6
234.5,3.4,84.8,16.9
205.0,45.1,19.6,22.6
125.7,36.9,79.2,15.9
229.5,32.3,74.2,19.7
17.2,45.9,69.3,12.0
141.3,26.8,46.2,15.5
69.2,20.5,18.3,11.3
78.2,46.8,34.5,14.6
286.0,13.9,3.7,20.9
18.8,21.7,50.4,7.0
25.1,25.7,43.3,8.5
191.1,28.7,18.2,17.3
180.8,10.8,58.4,17.9
66.1,5.8,24.2,12.6
195.4,47.7,52.9,22.4
13.1,0.4,25.6,5.3
177.0,9.3,6.4,14.8
4.1,11.6,5.7,3.2
151.5,41.3,58.5,16.5
75.3,20.3,32.5,11.3
16.9,43.7,89.4,8.7
216.8,43.9,27.2,22.3
56.2,5.7,29.7,8.7
239.3,15.5,27.3,20.7
76.4,26.7,22.3,11.8
73.4,17.0,12.9,10.9
149.8,1.3,24.3,10.1
100.4,9.6,3.6,10.7
193.2,18.4,65.7,20.2
255.4,26.9,5.5,19.8
97.2,1.5,30.0,13.2
121.0,8.4,48.7,11.6
175.7,15.4,2.4,17.1
276.9,48.9,41.8,27.0
97.5,7.6,7.2,13.7
156.6,2.6,8.3,15.5
89.7,9.9,35.7,10.6
94.2,4.9,8.1,14.0
248.8,27.1,22.9,18.9
220.5,33.2,37.9,20.1
265.2,2.9,43.0,17.7
230.1,37.8,69.2,22.1
129.4,5.7,31.3,11.0
243.2,49.0,44.3,25.4
217.7,33.5,59.0,19.4
139.2,14.3,25.6,12.2
171.3,39.7,37.7,16.0
28.6,1.5,33.0,7.3
44.7,25.8,20.6,10.1
139.3,14.5,10.2,13.4
26.8,33.0,19.3,8.8
164.5,20.9,47.4,17.5
273.7,28.9,59.7,20.8
188.4,18.1,25.6,19.9
76.4,0.8,14.8,9.4
253.8,21.3,30.0,17.6
131.1,42.8,28.9,16.0
239.9,41.5,18.5,23.2
238.2,34.3,5.3,20.7
276.7,2.3,23.7,16.8
206.9,8.4,26.4,17.9
69.0,9.3,0.9,11.3
261.3,42.7,54.7,24.2
7.3,28.1,41.4,5.5
109.8,47.8,51.4,16.7
248.4,30.2,20.3,20.2
147.3,23.9,19.1,14.6
210.8,49.6,37.7,23.8
87.2,11.8,25.9,10.6
102.7,29.6,8.4,14.0
184.9,43.9,1.7,20.7
175.1,22.5,31.5,16.1
136.2,19.2,16.6,13.2
116.0,7.7,23.1,11.0
292.9,28.3,43.2,21.4
80.2,0.0,9.2,11.9
197.6,23.3,14.2,16.6
38.0,40.3,11.9,10.9
0.7,39.6,8.7,1.6
280.2,10.1,21.4,19.8
168.4,7.1,12.8,16.7
11.7,36.9,45.2,7.3
19.6,20.1,17.0,7.6
265.6,20.0,0.3,17.4
177.0,33.4,38.7,17.1
182.6,46.2,58.7,21.2
95.7,1.4,7.4,11.9
206.8,5.2,19.4,17.2
187.8,21.1,9.5,20.6
213.4,24.6,13.1,17.0
222.4,3.4,13.1,16.5
109.8,14.3,31.7,12.4
210.7,29.5,9.3,18.4
90.4,0.3,23.2,12.0
163.3,31.6,52.9,16.9
139.5,2.1,26.6,10.3
228.3,16.9,26.2,20.5
66.9,11.7,36.8,9.7
281.4,39.6,55.8,24.4
68.4,44.5,35.6,13.6
214.7,24.0,4.0,17.4
17.9,37.6,21.6,8.0
104.6,5.7,34.4,10.4
193.7,35.4,75.6,19.2
239.8,4.1,36.9,17.3
48.3,47.0,8.5,11.6
120.2,19.6,11.6,13.2
25.0,11.0,29.7,7.2
85.7,35.8,49.3,13.3
289.7,42.3,51.2,25.4
96.2,14.8,38.9,12.3
19.4,16.0,22.3,6.6
120.5,28.5,14.2,14.2
293.6,27.7,1.8,20.7
93.9,43.5,50.5,15.3
232.1,8.6,8.7,18.4
225.8,8.2,56.5,18.4
184.9,21.0,22.0,20.5
110.7,40.6,63.2,16.0
134.3,4.9,9.3,14.0
215.4,23.6,57.6,17.1
187.9,17.2,17.9,19.7
199.1,30.6,38.7,18.3
290.7,4.1,8.5,17.8
142.9,29.3,12.6,15.0
23.8,35.1,65.9,9.2
170.2,7.8,35.2,16.7
5.4,29.9,9.4,5.3
287.6,43.0,71.8,26.2
241.7,38.0,23.2,21.8
18.7,12.1,23.4,6.7
237.4,5.1,23.5,17.5
